"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Saquon Barkley","NYG","rb","11","16","340.1","57","0","0","0","0","0","0","266.9756","1215.031","8.7424","110.7871","87.4368","613.8418","2.8428","0.6692","0.3346","0.2862","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Alvin Kamara","NO","rb","9","16","335.4","56","0","0","0","0","0","0","191.5777","847.1315","10.2595","105.0781","87.3893","757.0562","4.1954","1.0113","0.5057","0.6734","239.1351","0.2813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Ezekiel Elliott","DAL","rb","8","16","312.4","50","0","0","0","0","0","0","269.6323","1174.9821","8.3644","88.8107","72.6199","594.8179","2.3305","2.8767","1.4384","0.0234","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Michael Thomas","NO","wr","9","16","328.8","47","0","0","0","0","0","0","0","0","0","154.852","122.1873","1478.9462","9.7961","0.497","0.2485","0.0816","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Christian McCaffrey","CAR","rb","7","16","300","47","0","0","0","0","0","0","190.8964","780.1065","4.5753","118.0576","95.2712","771.7693","3.8616","2.3373","1.1687","0.0398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Travis Kelce","KC","te","12","16","308","45","0","0","0","0","0","0","0","0","0","141.9433","105.1537","1358.069","11.2187","1.0413","0.5207","0.1266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Julio Jones","ATL","wr","9","16","311","42","0","0","0","0","0","0","0","0","0","157.5049","106.1536","1586.0127","7.7471","0.8462","0.4231","0.1165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","DeAndre Hopkins","HST","wr","10","16","308.1","41","0","0","0","0","0","0","0","0","0","159.4195","105.0799","1455.5868","9.6377","1.1563","0.5781","0.0894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Todd Gurley II","LA","rb","9","16","271.3","39","0","0","0","0","0","0","205.4977","918.4723","11.669","64.2422","52.9183","462.1947","1.8757","2.0815","1.0408","0.0197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Antonio Brown","OAK","wr","6","16","295.5","38","0","0","0","0","0","0","3.621","20.4658","0.1059","149.6472","100.6318","1371.2082","9.1712","1.1295","0.5647","0.3128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
